epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,606.496,0.69982,0.32466,0.90623,0.943,0.94586,0.96728,0.80287,0.69822,0.28536,0.87922,0.000143097,0.000143097,0.000143097
90,613.359,0.69899,0.32261,0.90319,0.97476,0.96228,0.98187,0.81477,0.6886,0.27974,0.87509,0.000132098,0.000132098,0.000132098
91,620.494,0.71533,0.29985,0.925,0.93656,0.96355,0.9704,0.81364,0.68513,0.28159,0.875,0.000121099,0.000121099,0.000121099
92,627.269,0.69652,0.29273,0.91644,0.96755,0.92757,0.96758,0.81097,0.69778,0.28466,0.87868,0.0001101,0.0001101,0.0001101
93,634.02,0.67999,0.28833,0.91107,0.94882,0.9288,0.96388,0.8059,0.68173,0.27915,0.87369,9.91012e-05,9.91012e-05,9.91012e-05
94,640.766,0.68489,0.28906,0.91415,0.91391,0.99688,0.96711,0.81464,0.67404,0.27463,0.87179,8.81023e-05,8.81023e-05,8.81023e-05
95,647.52,0.669,0.28328,0.91055,0.95762,0.94541,0.96957,0.80924,0.67825,0.27757,0.87338,7.71034e-05,7.71034e-05,7.71034e-05
96,654.275,0.66117,0.28335,0.90328,0.95593,0.9282,0.96753,0.81784,0.67461,0.27731,0.871,6.61045e-05,6.61045e-05,6.61045e-05
97,661.058,0.66237,0.28218,0.90555,0.91581,0.98021,0.96854,0.8207,0.67048,0.27475,0.8699,5.51056e-05,5.51056e-05,5.51056e-05
98,667.864,0.6553,0.27959,0.90098,0.97099,0.92892,0.96602,0.81314,0.66816,0.27492,0.86911,4.41067e-05,4.41067e-05,4.41067e-05
99,674.72,0.6516,0.27812,0.90161,0.96962,0.92872,0.96598,0.81391,0.66349,0.27376,0.86819,3.31078e-05,3.31078e-05,3.31078e-05
100,681.538,0.64475,0.27611,0.90072,0.95622,0.92878,0.96768,0.81718,0.66355,0.27428,0.86831,2.21089e-05,2.21089e-05,2.21089e-05
